dataset_name,model_name,sampling_time_step_count,hyperparameter1,hyperparameter1_name,hyperparameter2,hyperparameter2_name,rmse,crps,time_s_mean,k,tie_breaker
KuramotoSivashinsky,EnFF-F2P,5,0.001,sigma_min,0.005,lambda,0.06617439156496127,2.0785633004480473,0.008697827060000378,1,1
KuramotoSivashinsky,EnFF-F2P,5,0.0001,sigma_min,0.005,lambda,0.07002706924841705,2.2380304997002525,0.007716459259999766,2,1
KuramotoSivashinsky,EnFF-F2P,5,1e-05,sigma_min,0.005,lambda,0.07010870286341557,2.243194955326022,0.007475149399999168,3,1
KuramotoSivashinsky,EnFF-F2P,5,0.01,sigma_min,0.005,lambda,0.07902320509987198,1.8375340305220658,0.008469668259999707,4,1
KuramotoSivashinsky,EnFF-F2P,5,0.01,sigma_min,0.05,lambda,0.12602867965166442,3.9187811789442675,0.008049477119999721,5,1
KuramotoSivashinsky,EnFF-F2P,5,0.001,sigma_min,0.05,lambda,0.12604336126070356,4.020623527342661,0.009080283079999418,6,1
KuramotoSivashinsky,EnFF-F2P,5,0.0001,sigma_min,0.05,lambda,0.126048736005641,4.032273409946937,0.008619274400000734,7,1
KuramotoSivashinsky,EnFF-F2P,5,1e-05,sigma_min,0.05,lambda,0.12604928886967717,4.0334485450616056,0.008959756919999791,8,1
KuramotoSivashinsky,EnFF-F2P,5,0.1,sigma_min,0.05,lambda,0.12634734236802733,3.252267583998406,0.008322458859999812,9,1
KuramotoSivashinsky,EnFF-F2P,5,0.1,sigma_min,0.1,lambda,0.17671449684948656,4.358228251518704,0.009470752720000064,10,1
KuramotoSivashinsky,EnFF-F2P,5,0.01,sigma_min,0.1,lambda,0.1916747192422106,5.751381688235495,0.008563385720000127,11,1
KuramotoSivashinsky,EnFF-F2P,5,0.001,sigma_min,0.1,lambda,0.19249081613778685,6.1047854953259835,0.008625367779999777,12,1
KuramotoSivashinsky,EnFF-F2P,5,0.0001,sigma_min,0.1,lambda,0.19253423187488716,6.154657194602232,0.008898037600000066,13,1
KuramotoSivashinsky,EnFF-F2P,5,1e-05,sigma_min,0.1,lambda,0.19253806269317525,6.160630358569933,0.009072757659999979,14,1
KuramotoSivashinsky,EnFF-F2P,5,0.1,sigma_min,0.005,lambda,0.19636317248612342,4.577334438713492,0.007292386660000147,15,1
KuramotoSivashinsky,EnFF-F2P,5,0.1,sigma_min,0.2,lambda,0.37038499416572884,8.78795109485527,0.00847334805999921,16,1
KuramotoSivashinsky,EnFF-F2P,5,0.001,sigma_min,0.2,lambda,0.3731713658541688,8.830535371219243,0.007867742759999885,17,1
KuramotoSivashinsky,EnFF-F2P,5,0.0001,sigma_min,0.2,lambda,0.3739963462543563,8.849992008741378,0.008996266779999616,18,1
KuramotoSivashinsky,EnFF-F2P,5,0.01,sigma_min,0.2,lambda,0.37438212178666885,8.856716920854844,0.008635644780000291,19,1
KuramotoSivashinsky,EnFF-F2P,5,1e-05,sigma_min,0.2,lambda,0.37448529456091867,8.858937690408624,0.008966892960000195,20,1
KuramotoSivashinsky,EnFF-F2P,5,0.01,sigma_min,0.001,lambda,1.075575293024348,24.98600002568712,0.008269018599999782,21,1
KuramotoSivashinsky,EnFF-F2P,5,0.001,sigma_min,0.001,lambda,1.084068026479025,25.136062760331324,0.007871148699999964,22,1
KuramotoSivashinsky,EnFF-F2P,5,0.0001,sigma_min,0.001,lambda,1.0861626939282951,25.184944856499587,0.0072008269999994925,23,1
KuramotoSivashinsky,EnFF-F2P,5,1e-05,sigma_min,0.001,lambda,1.0888621024511023,25.270955138882353,0.008403597180000161,24,1
KuramotoSivashinsky,EnFF-F2P,5,0.1,sigma_min,0.001,lambda,1.096930968508541,25.43696338232278,0.009621082700000443,25,1
KuramotoSivashinsky,EnFF-F2P,5,0.0001,sigma_min,0.3,lambda,1.163952251667764,26.944883458322824,0.00947059613999997,26,1
KuramotoSivashinsky,EnFF-F2P,5,1e-05,sigma_min,0.3,lambda,1.1671426855896299,27.00267503171952,0.00850927720000044,27,1
KuramotoSivashinsky,EnFF-F2P,5,0.1,sigma_min,0.3,lambda,1.1679589487614537,27.03106168982414,0.008763813480000096,28,1
KuramotoSivashinsky,EnFF-F2P,5,0.001,sigma_min,0.3,lambda,1.1684404245548041,27.037167504784826,0.008624458199999765,29,1
KuramotoSivashinsky,EnFF-F2P,5,0.01,sigma_min,0.3,lambda,1.1720799833042046,27.124391756213512,0.008725807900000007,30,1
KuramotoSivashinsky,EnFF-F2P,5,0.0001,sigma_min,0.4,lambda,2.1496598385657464,49.8215799608473,0.008551970920000969,31,1
KuramotoSivashinsky,EnFF-F2P,5,0.001,sigma_min,0.4,lambda,2.158924906576293,50.031006273874006,0.009086628759999939,32,1
KuramotoSivashinsky,EnFF-F2P,5,0.1,sigma_min,0.4,lambda,2.159167882502178,50.0383610427413,0.008778575439999657,33,1
KuramotoSivashinsky,EnFF-F2P,5,0.01,sigma_min,0.4,lambda,2.1609654506454192,50.07875824677066,0.009170834139999756,34,1
KuramotoSivashinsky,EnFF-F2P,5,1e-05,sigma_min,0.4,lambda,2.1665877323601457,50.216736422871065,0.00858340403999918,35,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.005,lambda,0.07111184367063413,2.2443023737491608,0.015800584200000002,1,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.005,lambda,0.07495058719644282,2.3953264672848356,0.02008121412000051,2,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.005,lambda,0.07502084882807042,2.4003460566247257,0.015029241380000257,3,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.005,lambda,0.08647200613765044,1.964333739039323,0.01882333474000049,4,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.05,lambda,0.12275534720566399,3.811214498135816,0.01891154995999969,5,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.05,lambda,0.12276838278506907,3.9148160601328152,0.018358105719999143,6,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.05,lambda,0.12277523720947336,3.9273977011671066,0.017252253099999847,7,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.05,lambda,0.12277600778586606,3.9286909529595113,0.018133040099999817,8,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.05,lambda,0.12308535220359708,3.147548949159406,0.015647157620000483,9,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.1,lambda,0.16308123866439414,5.129508982677793,0.01436481282000031,10,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.1,lambda,0.1631142757012161,5.210036763342559,0.014682238160000338,11,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.1,lambda,0.16312029103264034,5.218880166997073,0.016995721160000272,12,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.1,lambda,0.16312091186309596,5.219772203349879,0.017077379099998923,13,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.1,lambda,0.16321349390337192,4.529480996294327,0.016668676919999684,14,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.005,lambda,0.19871668141570495,4.64996145743468,0.018345191680000567,15,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.2,lambda,0.223243880651799,6.139868185950015,0.018951071840000822,16,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.2,lambda,0.2288389837333709,7.045461892931237,0.01842959249999936,17,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.2,lambda,0.22935118866402832,7.279275394550861,0.01589568718000052,18,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.2,lambda,0.22944297651556386,7.333772843852912,0.01702296408000052,19,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.2,lambda,0.22947333211261864,7.342501147517665,0.01562163099999907,20,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.3,lambda,0.28462055475206127,6.691754628320219,0.017292357039999474,21,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.3,lambda,0.2938296718169091,6.974793856786188,0.017760474000000245,22,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.3,lambda,0.29416289838950216,6.984243388630747,0.016335277000000304,23,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.3,lambda,0.294362784795681,6.995052955020111,0.0172273376400004,24,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.3,lambda,0.294916367015588,7.009168696218694,0.017275140939999857,25,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.4,lambda,0.35740332037869693,8.316172462521108,0.016155352959999904,26,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.4,lambda,0.3621712026798685,8.417043065864677,0.015761076199999734,27,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.4,lambda,0.36217764534736224,8.418241845726648,0.016612673459999457,28,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.4,lambda,0.3622060325290425,8.41865716640899,0.01875324558000031,29,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.4,lambda,0.36222081429535824,8.419301890901071,0.015651476080000323,30,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.5,lambda,0.48548914066213356,11.416629043819018,0.01810364909999919,31,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.5,lambda,0.4866397329019156,11.44779383311441,0.016173038360000048,32,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.5,lambda,0.4867589080464402,11.447124947959196,0.015336986639999993,33,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.5,lambda,0.4875102828517088,11.460005435484774,0.01634068384000031,34,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.5,lambda,0.4882459414073274,11.482693156082862,0.019057921140000218,35,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.6,lambda,0.7962558738819255,18.56708486102303,0.01814853227999919,36,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.6,lambda,0.7970535870966597,18.584747052385918,0.017597008619999313,37,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.6,lambda,0.7983686979300876,18.60841769765728,0.01667121710000046,38,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.6,lambda,0.8026509963539374,18.721631309937543,0.015437459600000238,39,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.6,lambda,0.8033555854579116,18.731324253174613,0.016792053639999978,40,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.001,lambda,1.0707911816987303,24.84968126169447,0.018020538819998676,41,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.001,lambda,1.0810692101144834,25.08594955274784,0.015844233720000035,42,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.001,lambda,1.0837223263822293,25.173471469586943,0.016433950679999042,43,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.001,lambda,1.0850320861576044,25.183487588797043,0.015684619580000145,44,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.001,lambda,1.08863308877549,25.244843650401155,0.0171227361199999,45,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.7,lambda,1.1691135571170497,27.16119333447793,0.0135545728599989,46,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.7,lambda,1.1715484171069184,27.23390075362943,0.015375776439999527,47,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.7,lambda,1.174113268023908,27.311140096779432,0.013817830759999624,48,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.7,lambda,1.183920073993576,27.53539402363429,0.015836577040000036,49,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.7,lambda,1.1978959880772337,27.838145760978602,0.014867199680000737,50,1
KuramotoSivashinsky,EnFF-F2P,10,1e-05,sigma_min,0.8,lambda,1.7510220339743767,40.44649772508785,0.01888614286000049,51,1
KuramotoSivashinsky,EnFF-F2P,10,0.1,sigma_min,0.8,lambda,1.7552558098282263,40.53316738528523,0.015656886940000163,52,1
KuramotoSivashinsky,EnFF-F2P,10,0.0001,sigma_min,0.8,lambda,1.75812078125985,40.642787649330124,0.015640575459999723,53,1
KuramotoSivashinsky,EnFF-F2P,10,0.001,sigma_min,0.8,lambda,1.765534292845535,40.76615121745491,0.015175866200000882,54,1
KuramotoSivashinsky,EnFF-F2P,10,0.01,sigma_min,0.8,lambda,1.765626404486444,40.83212718358386,0.0177214419000002,55,1
KuramotoSivashinsky,EnFF-F2P,20,0.001,sigma_min,0.005,lambda,0.07404919023307256,2.339012595309029,0.039094144640001646,1,1
KuramotoSivashinsky,EnFF-F2P,20,0.0001,sigma_min,0.005,lambda,0.07743741701469269,2.4748018498728186,0.0360858300999999,2,1
KuramotoSivashinsky,EnFF-F2P,20,1e-05,sigma_min,0.005,lambda,0.07754653066222343,2.481133501806095,0.033298961559999896,3,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.005,lambda,0.09076754516067755,2.034058436155713,0.031161423180000723,4,1
KuramotoSivashinsky,EnFF-F2P,20,0.01,sigma_min,0.05,lambda,0.12138194133907458,3.7659485944203754,0.03734356952000056,5,1
